"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
"auto_arima_forec",0.123065998317823,0.0989068377961939,0.102773437627919,0.102183333070494,0.125358263803977,0.113319457296502,0.105475723888567,0.109775949660078,0.113097630785058,0.160797195236412,0.132276272595447,0.136486234542518,0.144470171513083,0.136392603038046,0.264886596155491,0.178629989130603,0.126018957530874,0.117181790628875,0.141566708172273,0.110494736612632,0.128645381426457,0.140237167231012,0.169722233059133,0.135682456961117
"ets_forec",0.0720304346881269,0.0731861231533778,0.0488737595549286,0.0421253653602155,0.0388317918195203,0.0433465181310975,0.0478797065700148,0.0509386729598155,0.0601420854014803,0.110713314888287,0.0987656351814578,0.135210726528563,0.177019001213885,0.120763966388387,0.35822519949333,0.184376646140518,0.115639947781553,0.0934445524896807,0.0730627992369391,0.0824465101731643,0.119492832977129,0.118583243305948,0.142781566601756,0.0995207043544181
"nnetar_forec",0.13613084680092,0.124944383199969,0.117586988094384,0.112301257963063,0.139635496635393,0.141721557889862,0.12758743087375,0.123637313542613,0.118158429921286,0.171084412874048,0.164691686136567,0.14769259506435,0.152103400043274,0.150393313440213,0.182172753030042,0.172874242011092,0.146498692502046,0.128255839312819,0.1171508661203,0.110424702766758,0.106157389270698,0.122089124022413,0.165172283978207,0.169142902792112
"tbats_forec",0.0909026024927443,0.0829572077440416,0.0575539440545182,0.0578776770395893,0.0482143636636751,0.0586697929928919,0.0543101654557484,0.0639843594773458,0.0694672180417799,0.124078805913168,0.131935585658669,0.151965430625285,0.164729189076057,0.133262283167821,0.365789692421622,0.193132983296078,0.131848942760048,0.116307246424633,0.0900886202977624,0.0916081365913057,0.128728368696291,0.157079463837948,0.167804182980614,0.128975794628293
"stlm_ar_forec",0.106009967575491,0.0954175589034631,0.076211063691984,0.0701020921625416,0.0770548166103898,0.0746619785215239,0.0712504815200921,0.0917942983218253,0.119843395957071,0.168860939884599,0.17105694330362,0.2219973582431,0.177870034020807,0.135425480246825,0.424992306747985,0.268206065208573,0.171745755317665,0.131021692581124,0.119542006143316,0.101735336470356,0.173712911510593,0.20012380220402,0.218234881481627,0.158685665427616
"rw_drift_forec",0.147190854870775,0.147381709741551,0.147572564612326,0.147763419483101,0.147954274353877,0.148145129224652,0.148335984095427,0.148526838966203,0.148717693836978,0.148908548707753,0.149099403578529,0.149290258449304,0.14948111332008,0.149671968190855,0.14986282306163,0.150053677932406,0.150244532803181,0.150435387673956,0.150626242544732,0.150817097415507,0.151007952286282,0.151198807157058,0.151389662027833,0.151580516898608
"thetaf_forec",0.0865989740105663,0.0777676062539029,0.0547011695900708,0.051982895470348,0.0473916200229826,0.0556233497129166,0.059514336463505,0.0618716642730978,0.0713585682857159,0.119490687305422,0.12969120804992,0.156671210279609,0.184905403456312,0.137755482920683,0.400524550453294,0.20240016877542,0.123382295561997,0.0983037115570907,0.0873969257883809,0.0802335320034809,0.128577460376968,0.134416488904718,0.145150079692706,0.111228762363424
"naive_forec",0.147,0.147,0.147,0.147,0.147,0.147,0.147,0.147,0.147,0.147,0.147,0.147,0.147,0.147,0.147,0.147,0.147,0.147,0.147,0.147,0.147,0.147,0.147,0.147
"snaive_forec",0.076,0.062,0.059,0.056,0.143,0.097,0.06,0.072,0.063,0.234,0.119,0.08,0.121,0.105,0.229,0.134,0.065,0.055,0.052,0.051,0.05,0.104,0.205,0.147
"",0.0908857261160579,0.082932516960619,0.0575584290331122,0.0578762328510193,0.0483322931848501,0.0587178734714108,0.054322777788815,0.0639974713225814,0.0694664904957243,0.124212404330538,0.131921879965157,0.151886657094347,0.164685286952611,0.133230405572888,0.365638542509146,0.193071395258412,0.13176960999215,0.116228968617847,0.0900466317397582,0.0915576681151691,0.128638518209328,0.157009879457502,0.167843498395936,0.128992929020335
"naive_combi_ff",0.109436630972939,0.101062380754722,0.0901414363584589,0.0874817822832614,0.10160451410109,0.0977208648632718,0.0912615365407894,0.096614344133442,0.101198335803263,0.153881544978854,0.138168526056023,0.147368201525859,0.157619812515944,0.135073899710314,0.280272657929266,0.181185974721632,0.130819902695263,0.115216691185353,0.1087149075893,0.102862228003689,0.125924699616046,0.141636455184791,0.16802832109132,0.138757422602843
"selected_ff",0.0909026024927443,0.0829572077440416,0.0575539440545182,0.0578776770395893,0.0482143636636751,0.0586697929928919,0.0543101654557484,0.0639843594773458,0.0694672180417799,0.124078805913168,0.131935585658669,0.151965430625285,0.164729189076057,0.133262283167821,0.365789692421622,0.193132983296078,0.131848942760048,0.116307246424633,0.0900886202977624,0.0916081365913057,0.128728368696291,0.157079463837948,0.167804182980614,0.128975794628293
"oracle_ff",0.0909026024927443,0.0829572077440416,0.0575539440545182,0.0578776770395893,0.0482143636636751,0.0586697929928919,0.0543101654557484,0.0639843594773458,0.0694672180417799,0.124078805913168,0.131935585658669,0.151965430625285,0.164729189076057,0.133262283167821,0.365789692421622,0.193132983296078,0.131848942760048,0.116307246424633,0.0900886202977624,0.0916081365913057,0.128728368696291,0.157079463837948,0.167804182980614,0.128975794628293
