"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
"auto_arima_forec",0.19238082565781,0.261906752095248,0.323662414611321,0.369529167216135,0.413244611037659,0.433503859156377,0.455429727187491,0.475007430712876,0.666308194240148,0.849428856573394,0.726811216531562,0.786091117370184,0.855385943780471,0.860878245795112,0.640737757946983,0.598487758000958,0.610376307565775,0.511145783016804,0.364008886439812,0.35965755947858,0.358711495982129,0.359750930312668,0.369335696434931,0.362005260957934
"ets_forec",0.105224608034866,0.102497249510218,0.0954141688754958,0.0890908099908695,0.0874830775936263,0.081999785101739,0.0812295156020129,0.0793809171200569,0.313619890157453,0.415256289673987,0.35634752809859,0.359005597431955,0.362981655593344,0.361855855779249,0.307972719271034,0.308309585946218,0.307803979050957,0.223950053487284,0.193577551095686,0.147729720632958,0.128469119463282,0.126249547393499,0.110675228220361,0.111213435845006
"nnetar_forec",0.146460872873814,0.175316105711389,0.190947134898528,0.194872262289987,0.194571142991911,0.191021404057373,0.187290111619433,0.185497038764881,0.239658531775187,0.435513055217817,0.872316248243709,1.32396610377173,1.46568376606492,1.40056575606181,1.21911222906711,0.991071415134836,0.793021030779848,0.729601066023565,0.744054583398966,0.795368062917057,0.853950937495048,0.917127914916332,0.957505913054411,0.963774560035064
"tbats_forec",0.111816471394338,0.123100996520716,0.128787204631883,0.130761574383016,0.144940161107333,0.150618819822674,0.144425217609923,0.202942851258183,0.454514701398973,0.801439407844839,0.788171160417011,0.728166516056458,0.835688308439175,0.825055503147524,0.631108566044461,0.515954681158397,0.46490511949365,0.360244919037384,0.239339524026726,0.169935541277407,0.1499616786141,0.159770719463792,0.169214857116042,0.158414174674077
"stlm_ar_forec",0.119395070888713,0.117485768655931,0.133053555451326,0.137057714179491,0.149739452684798,0.150173195518235,0.155443895148317,0.154864586416744,0.581398049138751,1.19427562593143,0.993561667346062,0.996557990910316,1.20107186545644,1.20499744002384,0.839739814028242,0.997928162865605,1.03408939701662,0.701906317883587,0.224291366526191,0.17936564101427,0.185927744879354,0.181622952889654,0.188994023019969,0.185154856939957
"rw_drift_forec",0.110009940357853,0.110019880715706,0.110029821073559,0.110039761431412,0.110049701789264,0.110059642147117,0.11006958250497,0.110079522862823,0.110089463220676,0.110099403578529,0.110109343936382,0.110119284294235,0.110129224652087,0.11013916500994,0.110149105367793,0.110159045725646,0.110168986083499,0.110178926441352,0.110188866799205,0.110198807157058,0.110208747514911,0.110218687872763,0.110228628230616,0.110238568588469
"thetaf_forec",0.106564617120565,0.111900186044804,0.108564352677624,0.114844149525336,0.113935293377876,0.119029954419452,0.125826018918318,0.155011740799772,0.331523922166215,0.513769597217393,0.471752578146984,0.49153634212894,0.514610512826447,0.530249975120469,0.403668194741058,0.414138312387966,0.369048669536382,0.305186907451611,0.181867301022461,0.147406741668157,0.120196202582078,0.120973188685749,0.115335308633743,0.115014218434652
"naive_forec",0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11
"snaive_forec",0.108,0.11,0.13,0.11,0.134,0.111,0.11,0.13,0.913,1.522,0.959,1.588,1.572,1.599,0.757,0.109,0.129,0.113,0.131,0.118,0.11,0.11,0.128,0.11
"",0.110045292686812,0.115635455585036,0.129235626250752,0.119076458199678,0.137827179731918,0.127099000065758,0.124592519775242,0.156842100330682,0.69067386838725,1.16088384035615,0.838668487295306,1.17078811085325,1.20152022543674,1.21307321717763,0.668146141794588,0.265140465937256,0.257941615238138,0.208606212049336,0.171275301713082,0.138683354750675,0.126815282549564,0.130299923988292,0.143677242679916,0.129732853214828
"naive_combi_ff",0.12331693403644,0.135802993250446,0.147828739135526,0.151799493224027,0.161995937842496,0.161934073358107,0.164412674287829,0.178087120881704,0.413345861344156,0.661309137337487,0.598674415857811,0.721493661329313,0.780839030756987,0.778082437881994,0.557720931829631,0.461672106802181,0.436490387725192,0.351690441482398,0.255369786589894,0.237518008238387,0.236380658503434,0.243968215726051,0.251032183856675,0.247312786163907
"selected_ff",0.108,0.11,0.13,0.11,0.134,0.111,0.11,0.13,0.913,1.522,0.959,1.588,1.572,1.599,0.757,0.109,0.129,0.113,0.131,0.118,0.11,0.11,0.128,0.11
"oracle_ff",0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11
