"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
"auto_arima_forec",0.192408830518318,0.254426311763247,0.287018590454358,0.299665466176501,0.290029041032701,0.261852537147905,0.223641026940536,0.18613785658413,0.15933462517611,0.149838692029391,0.159283449798083,0.184151889582666,0.216986663376451,0.248590490212014,0.270576661383646,0.277569292410695,0.268483288196972,0.246589917401009,0.218414024793495,0.191818931332065,0.173833654639481,0.168816957627395,0.177431544353355,0.196660307173366
"ets_forec",0.0996703398962774,0.0890083658413435,0.118707561051842,0.0887470505426754,0.164484785291722,0.256249360789366,0.212137476160614,0.180242262868302,0.185759305284005,0.149354824690623,0.279767248548957,0.150080957179751,0.204525783038164,0.324811140031195,0.24608593211213,0.353307554539837,0.392488043085122,0.180179856056475,0.208817899081319,0.26762793315238,0.200062536026964,0.30348114995531,0.311190285149141,0.126211947851826
"nnetar_forec",-0.108047107388769,0.241409575762075,0.492245606559162,0.818520475559468,-0.00823719709124163,0.00727251649003058,0.0261005702873447,0.0129875211863094,0.0806611580997602,0.0818793637685386,0.0131314935190878,0.136528033786443,0.559208102811258,0.603751609573227,0.263392619815879,0.0887417073259676,0.174884149348801,0.207743404818612,0.211415920236479,0.245458287322905,0.0278257438213027,0.255344086456794,0.517928399253826,0.290691387539812
"tbats_forec",0.0885484199811706,0.110160418097078,0.103667791874776,0.107569645786195,0.11648707317103,0.12223858818694,0.120070644466005,0.112734584680871,0.10588327316931,0.102514665118118,0.102701140764063,0.106124635241419,0.11392303695433,0.127937979196899,0.147292917446207,0.16458736120873,0.168740292235002,0.157439668904029,0.141615392875248,0.133540897185948,0.137594837228868,0.149048133422809,0.155421755791763,0.146516389512011
"stlm_ar_forec",-0.000858302617341725,0.0924494403876067,0.150962842724714,0.0803157500531572,0.295042828039873,0.238105289284866,0.313091057325981,0.293236256856219,0.0811740503396529,0.0491990056125407,0.151182423973568,0.16059832549219,0.175223380750398,0.228695480823017,0.10959914698705,0.486670321068946,0.419763375805768,0.228412413323722,0.263679028168612,0.199695733420582,0.136311680630751,0.421453943941274,0.455868037927217,0.140416344921183
"rw_drift_forec",0.0369721669980119,0.0369443339960238,0.0369165009940358,0.0368886679920477,0.0368608349900596,0.0368330019880716,0.0368051689860835,0.0367773359840954,0.0367495029821073,0.0367216699801193,0.0366938369781312,0.0366660039761431,0.036638170974155,0.036610337972167,0.0365825049701789,0.0365546719681908,0.0365268389662027,0.0364990059642147,0.0364711729622266,0.0364433399602385,0.0364155069582505,0.0363876739562624,0.0363598409542743,0.0363320079522862
"thetaf_forec",0.2179158429872,0.217914354534606,0.217912866082012,0.217911377629417,0.217909889176823,0.217908400724229,0.217906912271635,0.217905423819041,0.217903935366446,0.217902446913852,0.217900958461258,0.217899470008664,0.21789798155607,0.217896493103475,0.217895004650881,0.217893516198287,0.217892027745693,0.217890539293099,0.217889050840504,0.21788756238791,0.217886073935316,0.217884585482722,0.217883097030128,0.217881608577533
"naive_forec",0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037
"snaive_forec",0.042,0.113,0.044,0.044,0.037,0.459,0.778,0.034,0.068,0.101,0.036,0.057,0.093,0.035,0.099,0.115,0.997,0.22,0.279,0.208,0.196,0.268,0.199,0.037
"",0.0885057194045269,0.11013127042857,0.103635446022287,0.107532657832878,0.116441795531346,0.122331227288288,0.120271174024301,0.112691342565154,0.105846424453276,0.102486718874254,0.102669147943462,0.106087397583923,0.113904712178917,0.127901629507672,0.14723522335156,0.164546805486039,0.168988011944005,0.15741045713129,0.141627295622013,0.133539573703559,0.13756977246366,0.149066744992752,0.155419026623173,0.146428177895914
"naive_combi_ff",0.067290021152763,0.132479200042442,0.165381306637878,0.192290937082162,0.131841917178996,0.181828854956823,0.218305872937578,0.12344680466433,0.108051761157488,0.102823407568131,0.114851172449239,0.120672146140808,0.183822568828981,0.206699281212444,0.158602754151775,0.197480491635628,0.301419779487062,0.170194978417907,0.179366943217543,0.170830298306892,0.129214448137881,0.206379614538063,0.234231440051078,0.136523332614224
"selected_ff",0.0885484199811706,0.110160418097078,0.103667791874776,0.107569645786195,0.11648707317103,0.12223858818694,0.120070644466005,0.112734584680871,0.10588327316931,0.102514665118118,0.102701140764063,0.106124635241419,0.11392303695433,0.127937979196899,0.147292917446207,0.16458736120873,0.168740292235002,0.157439668904029,0.141615392875248,0.133540897185948,0.137594837228868,0.149048133422809,0.155421755791763,0.146516389512011
"oracle_ff",0.0885484199811706,0.110160418097078,0.103667791874776,0.107569645786195,0.11648707317103,0.12223858818694,0.120070644466005,0.112734584680871,0.10588327316931,0.102514665118118,0.102701140764063,0.106124635241419,0.11392303695433,0.127937979196899,0.147292917446207,0.16458736120873,0.168740292235002,0.157439668904029,0.141615392875248,0.133540897185948,0.137594837228868,0.149048133422809,0.155421755791763,0.146516389512011
