"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
"auto_arima_forec",0.0556698915989895,0.0614700125691063,0.0657145223767063,0.0680631458452357,0.0696039065121501,0.069985648633543,0.0720637705790258,0.0975980673939202,0.104610265005791,0.0938249432328657,0.0948449378908118,0.115192181982321,0.120650303487096,0.0804688150624494,0.0850309778580106,0.106944253918498,0.085093583098425,0.0849325638231973,0.076099854536971,0.0725157250995627,0.0723253999899043,0.0718965177677454,0.0723751046745356,0.0724379053064046
"ets_forec",0.029406263664958,0.0275311675740708,0.0273194511074765,0.0273823104474447,0.0283605610899993,0.0281947481308195,0.0875478816620726,0.0835938366714855,0.107667358798204,0.0650440687278168,0.118839065667277,0.0793476390464007,0.06775859541409,0.0708232598300115,0.0994004112095297,0.190980608531658,0.1228291764929,0.102575738050288,0.0877176347924978,0.120764402025506,0.166032320705666,0.44380008883423,0.308438624801859,0.169732974732067
"nnetar_forec",0.055046885792808,0.117551931959794,0.137135826416214,0.136798413983235,0.155100040729222,0.158244431301347,0.158061664986869,0.161663215872203,0.162862825879369,0.161474894152744,0.161492466754697,0.169984683956618,0.171605109718007,0.160327058125171,0.16050347014156,0.160387120931751,0.160626035219738,0.16013776725093,0.159068691286348,0.15883977462001,0.158829766140856,0.158633484551944,0.158611865161054,0.158858146117171
"tbats_forec",0.0243699941574888,0.0252677897959627,0.0301520448590558,0.0302324312231181,0.0294155542552904,0.0363354424232699,0.049735954939399,0.0556753141429189,0.0537659843288773,0.0578936093862907,0.0667390417483355,0.0646892660193636,0.0549890682088038,0.0549380613657409,0.0687083897379303,0.0825541242109739,0.0773280195197893,0.0612704653617486,0.0526062258770251,0.0605049462443704,0.0923596311431296,0.132385430734349,0.117201488231989,0.066722274529673
"stlm_ar_forec",-0.00286202532066077,0.00849468800624621,0.0171218766988673,0.0184382104856035,0.0206919278119125,0.0195240088575247,0.101571667743319,0.0788179491690513,0.0829129936962355,0.0689082791262809,0.102182385321209,0.103129662930946,0.108215310774418,0.0570043056675069,0.0859929419165775,0.121301958449903,0.128992626223478,0.0642528743866978,0.0561699937222889,0.0750703173316842,0.0771924869456211,0.294378982683383,0.12752639161346,0.0539163697711734
"rw_drift_forec",0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039
"thetaf_forec",0.0237709930903608,0.0220227884882059,0.0218091281918034,0.0218322719422697,0.0222652613047979,0.0220510822714887,0.0511269149120397,0.0341012709420168,0.0405235855604936,0.0330356236652221,0.0478648722833678,0.0446576564025593,0.031497024570609,0.0311345706355375,0.0434428525411676,0.0728101342989529,0.048761010090067,0.0338195143441648,0.0312554229858308,0.044551286452372,0.0515755828106391,0.122556135121194,0.0801794684665787,0.0343061468931409
"naive_forec",0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039
"snaive_forec",0.037,0.039,0.038,0.038,0.038,0.037,0.039,0.216,0.288,0.194,0.198,0.376,0.429,0.072,0.112,0.106,0.115,0.08,0.041,0.038,0.038,0.035,0.035,0.039
"",0.0244126922010242,0.0253145158821499,0.0301789678570305,0.0302591845095308,0.0294454378235125,0.0363379295931496,0.0497039974764163,0.0561927556644589,0.0545238636025679,0.0583314120516902,0.0671621711480036,0.0656936841868826,0.0561974551583838,0.0549916190175747,0.0688455256899194,0.0826295395421174,0.0774468634624313,0.0613290008684681,0.0525680785213777,0.0604317155519506,0.0921768433274576,0.13207085472612,0.116929086305249,0.0666303029830139
"naive_combi_ff",0.0333780003315494,0.0421487087103762,0.0461392055166804,0.046527420436323,0.0490485835225969,0.0499261512908881,0.0707897616469695,0.0894944060212884,0.102038112585441,0.083575713143469,0.0964403077406332,0.114555676704245,0.117968379130336,0.0671884522984908,0.081453227044975,0.10210868892686,0.0907367167382664,0.0738876581352251,0.0646575359112179,0.0720273835303894,0.0815905764150906,0.14851673774365,0.108592549216608,0.0747748685944034
"selected_ff",0.0243699941574888,0.0252677897959627,0.0301520448590558,0.0302324312231181,0.0294155542552904,0.0363354424232699,0.049735954939399,0.0556753141429189,0.0537659843288773,0.0578936093862907,0.0667390417483355,0.0646892660193636,0.0549890682088038,0.0549380613657409,0.0687083897379303,0.0825541242109739,0.0773280195197893,0.0612704653617486,0.0526062258770251,0.0605049462443704,0.0923596311431296,0.132385430734349,0.117201488231989,0.066722274529673
"oracle_ff",0.029406263664958,0.0275311675740708,0.0273194511074765,0.0273823104474447,0.0283605610899993,0.0281947481308195,0.0875478816620726,0.0835938366714855,0.107667358798204,0.0650440687278168,0.118839065667277,0.0793476390464007,0.06775859541409,0.0708232598300115,0.0994004112095297,0.190980608531658,0.1228291764929,0.102575738050288,0.0877176347924978,0.120764402025506,0.166032320705666,0.44380008883423,0.308438624801859,0.169732974732067
