"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
"auto_arima_forec",0.345748142866692,0.225802752251436,0.23289433205182,0.227379294923003,0.223133853251346,0.219259784008263,0.210980785793621,0.249164569251584,0.266707832538259,0.305883185795667,0.587199645244329,0.234055122722973,0.210726236407984,0.398772367644701,0.377646524314205,0.273036621839169,0.256940193138292,0.282249925238583,0.277737906795893,0.248566132837914,0.354943838972151,0.280307734581781,0.395041190870211,0.40253248615715
"ets_forec",0.337676178520301,0.258569121709243,0.20045980476173,0.180032010796201,0.153879793380096,0.137861106626374,0.116592252346683,0.209409087844927,0.174032044575819,0.229819477714773,0.331859995712407,0.472510693403781,1.33698758518536,1.57192428676916,1.09399550504447,0.634132284961682,0.544647720595247,0.533607769091541,0.536467122520135,0.520318750187464,0.618503081295343,1.19010378087898,1.26895493231408,0.975696356196961
"nnetar_forec",0.473753426882992,0.404906053223032,0.364913242371051,0.21792663316656,0.3141075502085,0.193056939669153,0.102592602808347,0.116063205414916,0.0106267137231986,0.0777585780928312,-0.0193201431647511,0.294689126679451,0.599896121391576,0.630784463264862,0.930905669429962,0.505970290577674,0.397628741539496,0.434084247864469,0.379681127253705,0.237417566219736,0.123529709847333,0.396533418680312,0.576991168995159,0.527097813264683
"tbats_forec",0.263563699585565,0.163128288044111,0.156346567411538,0.152388332484862,0.125971016508888,0.10524095533984,0.111880980338271,0.135322266135774,0.137192685139398,0.11659845752839,0.122311766116841,0.203040767145322,0.394797896518569,0.525000776753867,0.416515985570457,0.286776236445315,0.245435186210388,0.246857246032758,0.232265278622071,0.212990490061672,0.244741838255451,0.353576932026604,0.443167425059585,0.358665187015755
"stlm_ar_forec",0.263542434969191,0.109262342852455,0.161047625096639,0.074557993728794,0.00121364170810456,0.125759054273167,0.112871356122657,0.215136399133612,0.131420581885801,0.179550720867803,0.322608488152957,0.3739303465388,0.768515218140448,0.773692784886306,0.547000731055651,0.266308558597549,0.284033635758951,0.30695360786745,0.26195091460188,0.335182102493825,0.25997542626631,0.499935205096788,0.660416653417819,0.46842840180587
"rw_drift_forec",0.551499005964215,0.551998011928429,0.552497017892644,0.552996023856859,0.553495029821074,0.553994035785288,0.554493041749503,0.554992047713718,0.555491053677932,0.555990059642147,0.556489065606362,0.556988071570577,0.557487077534791,0.557986083499006,0.558485089463221,0.558984095427435,0.55948310139165,0.559982107355865,0.56048111332008,0.560980119284294,0.561479125248509,0.561978131212724,0.562477137176938,0.562976143141153
"thetaf_forec",0.23906478189023,0.18004249030885,0.146979001020204,0.136589379489976,0.119532112668889,0.0989865662302607,0.0878029710793266,0.145096620747857,0.136296108201015,0.159059419070868,0.180143559023785,0.258238409323621,0.657855181115576,0.73357118671966,0.51874070043933,0.323067948822573,0.253019223989464,0.249154362124429,0.285281522199246,0.236228589487192,0.260709043391188,0.471529843100547,0.539157321059338,0.378632068173389
"naive_forec",0.551,0.551,0.551,0.551,0.551,0.551,0.551,0.551,0.551,0.551,0.551,0.551,0.551,0.551,0.551,0.551,0.551,0.551,0.551,0.551,0.551,0.551,0.551,0.551
"snaive_forec",0.243,0.131,0.18,0.153,0.124,0.094,0.056,0.061,0.184,0.07,0.058,0.118,0.073,0.947,0.64,0.345,0.233,0.184,0.238,0.191,0.904,0.263,0.33,0.551
"",0.263553691178976,0.163118641787207,0.156367448395772,0.152385529748057,0.125967246796212,0.105240843942711,0.111844889660786,0.135290859511359,0.137226670584025,0.116593654253542,0.122315786272607,0.203027786585857,0.394725653381092,0.525379178954483,0.416725740880977,0.286839740796849,0.245449374251124,0.246840021573705,0.232301496563498,0.213007627125281,0.245181067088952,0.353596665275875,0.443172765173353,0.358830395532453
"naive_combi_ff",0.363205296742132,0.28618989559084,0.282904176733959,0.249541074271806,0.2407036663941,0.231017604659149,0.211579332248712,0.24857602180471,0.238529668860158,0.249517766523609,0.298921375187992,0.340272504153836,0.572251701810478,0.743303549948618,0.626032245035255,0.416030670741266,0.36946531140261,0.37198769617501,0.369207220590334,0.343742638952455,0.430986895919587,0.507551671730859,0.591911758765904,0.530669828417218
"selected_ff",0.263563699585565,0.163128288044111,0.156346567411538,0.152388332484862,0.125971016508888,0.10524095533984,0.111880980338271,0.135322266135774,0.137192685139398,0.11659845752839,0.122311766116841,0.203040767145322,0.394797896518569,0.525000776753867,0.416515985570457,0.286776236445315,0.245435186210388,0.246857246032758,0.232265278622071,0.212990490061672,0.244741838255451,0.353576932026604,0.443167425059585,0.358665187015755
"oracle_ff",0.23906478189023,0.18004249030885,0.146979001020204,0.136589379489976,0.119532112668889,0.0989865662302607,0.0878029710793266,0.145096620747857,0.136296108201015,0.159059419070868,0.180143559023785,0.258238409323621,0.657855181115576,0.73357118671966,0.51874070043933,0.323067948822573,0.253019223989464,0.249154362124429,0.285281522199246,0.236228589487192,0.260709043391188,0.471529843100547,0.539157321059338,0.378632068173389
