"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
"auto_arima_forec",0.0806578358986688,0.133376033144459,0.0818912717969735,0.115064840694691,0.0941669055170174,0.108052832426892,0.107318518556128,0.131319793089323,0.132649990508716,0.120317176418266,0.0939838435753812,0.112157992657137,0.106500054487966,0.128669647022425,0.110161398844715,0.113513515273616,0.103382042063083,0.108341366137521,0.112029855717373,0.115345895927987,0.101603268407944,0.132950093460851,0.119852283602366,0.117524723006798
"ets_forec",0.0706389879317295,0.0689455328750769,0.0819792353519834,0.0753469092296262,0.0910489876876059,0.0806246058575404,0.0998240500864463,0.158447477747336,0.117595775737868,0.130249972523713,0.0857600619626701,0.095270376867841,0.0954379270304635,0.0852867812921803,0.130412025693867,0.160008743094253,0.105581364456803,0.120311442896824,0.105835144355022,0.112146046858703,0.075433955817709,0.181160004711479,0.161564672338155,0.158840674158442
"nnetar_forec",0.104125657610324,0.114568699182563,0.0859417599103847,0.107454067513447,0.0913969080526737,0.101102273780745,0.0937157464104339,0.103360612559548,0.117828187423998,0.121909031356142,0.0899636039703719,0.109838419723902,0.0853642845444893,0.106338729663045,0.0862842372709571,0.105946547252758,0.0882834297142835,0.103766468964336,0.0921396060486695,0.11124447972695,0.0849071989873648,0.128887055626713,0.0875044047244471,0.145153821009601
"tbats_forec",0.0433093078871098,0.0736776755296993,0.0537863979021626,0.0783046447129045,0.0628037371374363,0.0740247295782079,0.0860065555879025,0.140056819992235,0.142645838955527,0.0960814576552778,0.0737535490489404,0.0796886329489456,0.070212123615115,0.071061851391438,0.117722215195528,0.152360889236433,0.103940661640898,0.0819063997927667,0.0973713251721069,0.092226681845458,0.0880580471614122,0.149343410092005,0.215346836012042,0.132508735560477
"stlm_ar_forec",0.0584838572409314,0.104605022502847,0.065313007578513,0.0945294568279799,0.0724234718788053,0.0937210970613015,0.0899329012094419,0.143697884527687,0.136595837138045,0.149748855613438,0.0946321530234143,0.099565891177879,0.0987280864164563,0.112543691576766,0.124873975448277,0.136959841044902,0.118322782592397,0.0948744483346718,0.107877979453855,0.0949839544128692,0.104525060082852,0.184937962666752,0.149929083357754,0.142212739076135
"rw_drift_forec",0.202268389662028,0.202536779324056,0.202805168986084,0.203073558648111,0.203341948310139,0.203610337972167,0.203878727634195,0.204147117296223,0.204415506958251,0.204683896620278,0.204952286282306,0.205220675944334,0.205489065606362,0.20575745526839,0.206025844930418,0.206294234592445,0.206562624254473,0.206831013916501,0.207099403578529,0.207367793240557,0.207636182902585,0.207904572564612,0.20817296222664,0.208441351888668
"thetaf_forec",0.0879147855891638,0.0704086975213967,0.0872837419842556,0.0747260387113543,0.0904086181142094,0.078536867028804,0.101815404010413,0.148431595563866,0.119144722799261,0.132071067183268,0.08639922107649,0.0945806358670638,0.104297754473066,0.0951749321776165,0.121204279059994,0.148536568702525,0.106897331034957,0.113244158715513,0.102884854176781,0.103635415542295,0.0919188320322847,0.158161095496629,0.156674666499414,0.152383164514951
"naive_forec",0.202,0.202,0.202,0.202,0.202,0.202,0.202,0.202,0.202,0.202,0.202,0.202,0.202,0.202,0.202,0.202,0.202,0.202,0.202,0.202,0.202,0.202,0.202,0.202
"snaive_forec",0.144,0.022,0.126,0.041,0.119,0.051,0.098,0.147,0.193,0.155,0.05,0.121,0.054,0.099,0.069,0.08,0.083,0.066,0.1,0.164,0.037,0.202,0.1,0.202
"",0.043690693084648,0.074031581633131,0.0540490651879403,0.0785318205339794,0.0630631926618426,0.0742496688369701,0.0861459636361003,0.139961315293789,0.142552186103791,0.0963270556344734,0.0739004426744067,0.0799439768153188,0.0704468935637266,0.0714468427284383,0.117622536431434,0.152065043001853,0.103915682630306,0.0821085620752031,0.0974464737639858,0.0924199083641271,0.0881076713079903,0.149285306151236,0.214538850525459,0.132525632619873
"naive_combi_ff",0.110377646868884,0.110235382231122,0.109666731501151,0.110166612926457,0.114065619633099,0.110296971522851,0.120276878166107,0.153162366752913,0.151763984391296,0.145784606374487,0.109049413215508,0.124369180576345,0.113558810685991,0.122870343154651,0.129742664049306,0.145068926577437,0.124218915084099,0.121919477639793,0.125248685389148,0.133661140839424,0.110342505043572,0.171927132735449,0.15567165652898,0.162340578801675
"selected_ff",0.0433093078871098,0.0736776755296993,0.0537863979021626,0.0783046447129045,0.0628037371374363,0.0740247295782079,0.0860065555879025,0.140056819992235,0.142645838955527,0.0960814576552778,0.0737535490489404,0.0796886329489456,0.070212123615115,0.071061851391438,0.117722215195528,0.152360889236433,0.103940661640898,0.0819063997927667,0.0973713251721069,0.092226681845458,0.0880580471614122,0.149343410092005,0.215346836012042,0.132508735560477
"oracle_ff",0.0879147855891638,0.0704086975213967,0.0872837419842556,0.0747260387113543,0.0904086181142094,0.078536867028804,0.101815404010413,0.148431595563866,0.119144722799261,0.132071067183268,0.08639922107649,0.0945806358670638,0.104297754473066,0.0951749321776165,0.121204279059994,0.148536568702525,0.106897331034957,0.113244158715513,0.102884854176781,0.103635415542295,0.0919188320322847,0.158161095496629,0.156674666499414,0.152383164514951
