"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
"auto_arima_forec",0.282854268684397,0.251785021419903,0.230150010859736,0.238719928119333,0.236492192129078,0.227824784611216,0.235467469067487,0.311985608062486,0.2725034209358,0.323801410142943,0.280737369703209,0.279587717039266,0.248717048061103,0.257401273163995,0.271960585615716,0.314392771536551,0.318127372201048,0.260554977405267,0.248746889574236,0.244242356326516,0.243953552273075,0.26804794895529,0.344246937043132,0.300784337575315
"ets_forec",0.276818767464424,0.195337890686954,0.152155738452159,0.141597398891978,0.150241282148173,0.140297766992986,0.135771575410545,0.240466194811483,0.418566910532003,0.442047598963891,0.445664998127046,0.34124145286476,0.194584570031695,0.256290510187435,0.273872159431922,0.254459945359624,0.417080265023692,0.231897649095545,0.197572851537658,0.283156556911384,0.300345431205749,0.453706783634713,0.462669377316718,0.366916451930066
"nnetar_forec",0.238719337084343,0.19031588219964,0.177670303722429,0.178540953502503,0.177229273536302,0.180595691614631,0.186679233705968,0.254745229905099,0.412418659404017,0.430832416352907,0.428639892539705,0.352737673912392,0.268259065569508,0.266837938046511,0.277266172186168,0.275704870495596,0.343557426502211,0.429366906349924,0.420687954926204,0.373119243224696,0.284234076011758,0.245627572656647,0.286822916878704,0.403705530930835
"tbats_forec",0.255798541687039,0.197557368238696,0.160061563578898,0.143263189197243,0.136469136660543,0.139911589841762,0.162976583648361,0.217464526868207,0.299338458175027,0.358617975265176,0.338675255756019,0.270049796424197,0.219831902152973,0.21258432674599,0.240487342019626,0.271869271672584,0.266394240895904,0.229635929278818,0.204970967189918,0.221844699525511,0.290751048318493,0.388439262625014,0.43161137070931,0.370422286961714
"stlm_ar_forec",0.274597252305955,0.186509895856729,0.140388666375873,0.140845623881359,0.155644581377964,0.141428474999765,0.135903769109706,0.239521792187302,0.392767284141777,0.501942098959864,0.498069051424443,0.324809807286936,0.205661965545159,0.222303374431475,0.221462148260718,0.238884390653144,0.387372678957679,0.209034952481253,0.205036545993556,0.271331392448371,0.318983325954588,0.374841143527198,0.4989498516162,0.356708688068527
"rw_drift_forec",0.36327435387674,0.363548707753479,0.363823061630219,0.364097415506958,0.364371769383698,0.364646123260437,0.364920477137177,0.365194831013916,0.365469184890656,0.365743538767396,0.366017892644135,0.366292246520875,0.366566600397614,0.366840954274354,0.367115308151093,0.367389662027833,0.367664015904573,0.367938369781312,0.368212723658052,0.368487077534791,0.368761431411531,0.36903578528827,0.36931013916501,0.36958449304175
"thetaf_forec",0.286670046126756,0.195199648235059,0.152248655409386,0.136405365140771,0.148458179342925,0.141795015601868,0.154120425519624,0.220412234629813,0.394287977009992,0.397824523817026,0.390633629807993,0.2913855741969,0.206371512030481,0.24562908212906,0.296565492279384,0.291595541293692,0.291237744717098,0.215020663102158,0.204129003449305,0.26515331745625,0.310820204033604,0.399965397120835,0.462736156360357,0.353966609457219
"naive_forec",0.363,0.363,0.363,0.363,0.363,0.363,0.363,0.363,0.363,0.363,0.363,0.363,0.363,0.363,0.363,0.363,0.363,0.363,0.363,0.363,0.363,0.363,0.363,0.363
"snaive_forec",0.194,0.15,0.146,0.157,0.11,0.138,0.148,0.247,0.318,0.932,0.384,0.169,0.226,0.325,0.228,0.147,0.684,0.315,0.306,0.217,0.18,0.224,0.505,0.363
"",0.255799960412658,0.197556973920911,0.160063748790441,0.143268854623395,0.136474727664752,0.139917057676535,0.162977927819624,0.217472073775961,0.299355240257296,0.358669954384727,0.338691311935345,0.270050120015646,0.219833566515434,0.212600200287273,0.240494030953679,0.271862463928769,0.266436999903969,0.22964435310099,0.204982853498635,0.221854882816704,0.290746886853379,0.38842694606552,0.431619396344439,0.370419347857395
"naive_combi_ff",0.281748063025517,0.232583823821162,0.209499777780967,0.207052208248905,0.20465626828652,0.20416660521363,0.209648837066541,0.273310046386479,0.359594655009919,0.457312173585467,0.388382010000283,0.306456029805036,0.255443629309837,0.279543050997647,0.28219213421607,0.280477383671003,0.382048193800245,0.291272160832697,0.279817437369881,0.289703849269724,0.295649896578755,0.342962654867552,0.413816305454381,0.360898710885047
"selected_ff",0.255798541687039,0.197557368238696,0.160061563578898,0.143263189197243,0.136469136660543,0.139911589841762,0.162976583648361,0.217464526868207,0.299338458175027,0.358617975265176,0.338675255756019,0.270049796424197,0.219831902152973,0.21258432674599,0.240487342019626,0.271869271672584,0.266394240895904,0.229635929278818,0.204970967189918,0.221844699525511,0.290751048318493,0.388439262625014,0.43161137070931,0.370422286961714
"oracle_ff",0.276818767464424,0.195337890686954,0.152155738452159,0.141597398891978,0.150241282148173,0.140297766992986,0.135771575410545,0.240466194811483,0.418566910532003,0.442047598963891,0.445664998127046,0.34124145286476,0.194584570031695,0.256290510187435,0.273872159431922,0.254459945359624,0.417080265023692,0.231897649095545,0.197572851537658,0.283156556911384,0.300345431205749,0.453706783634713,0.462669377316718,0.366916451930066
