"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
"auto_arima_forec",0.222532731648055,0.148993982462684,0.115443332241931,0.173631416797983,0.249567797190006,1.16030795997665,1.00423620567567,1.04645198004238,0.770306444723112,0.245380736761241,0.299875032418662,0.310931653948315,0.296798165656361,0.354395865439234,0.64253662962345,0.610026886519074,1.86702942951091,1.36685356337466,1.10825630968768,0.216973222813174,0.151784505874528,0.142241702025187,0.145658514549488,0.252636320238012
"ets_forec",0.250543871510876,0.159299163328989,0.134283937625695,0.220269627198018,0.275068463380546,1.21338947062111,1.05427175263574,1.11867883298466,0.7056987974651,0.250744235626377,0.366667486141321,0.368670668525326,0.352977040275561,0.35130241652115,0.721477481540421,0.621145524807305,1.98759328632333,1.46139043301236,1.17292421887206,0.210455002903291,0.143981492396902,0.142318713650893,0.160551870392399,0.27887019684549
"nnetar_forec",0.293330798737571,0.309067412918665,0.266521079032321,0.173014657292067,0.14398559494019,1.15043525122406,1.14399679470839,1.05636927423637,0.900621052952346,0.307955089786247,0.213726884915181,0.203979177633205,0.369044332691872,0.416811293302474,0.649934331725751,0.883621060365962,1.9995852314289,1.327795894543,1.01993573947296,0.177393103664819,0.165845584096632,0.237001651386702,0.230731662311959,0.177417355248815
"tbats_forec",0.390861252702791,0.405930705157019,0.246780390572958,0.458900467269036,0.991476127055809,1.14592332675989,0.911406901428255,0.807149286866727,0.728179196857245,0.423466071881166,0.234411019436812,0.326490427263212,0.402658091221853,0.527893045698334,0.923370190950314,1.24949210972085,1.18547854838659,0.95224907741905,0.70582178207813,0.414049392965033,0.268995195439128,0.323667325832947,0.315203596226896,0.279702401822896
"stlm_ar_forec",0.281559414917725,0.290859387429685,0.204554127838958,0.252882056429022,0.27633323710851,1.21198153015495,1.03278820783453,1.00714575243008,0.953508983703072,0.320915521063902,0.226290668628309,0.238615834544269,0.221770626380921,0.432374045485729,0.485082079171677,0.55932780380378,1.64750206400943,1.20133646044597,1.03765012726275,0.242070380751372,0.164865248340296,0.126644082210458,0.105213665645934,0.192937912410216
"rw_drift_forec",0.269322067594433,0.269644135188867,0.2699662027833,0.270288270377734,0.270610337972167,0.2709324055666,0.271254473161034,0.271576540755467,0.271898608349901,0.272220675944334,0.272542743538767,0.272864811133201,0.273186878727634,0.273508946322068,0.273831013916501,0.274153081510934,0.274475149105368,0.274797216699801,0.275119284294235,0.275441351888668,0.275763419483101,0.276085487077535,0.276407554671968,0.276729622266402
"thetaf_forec",0.270093249791659,0.280497236099023,0.185045112487279,0.230427244300163,1.21376300274897,1.06712839843266,0.966952897361409,0.741941305617921,0.767733279779175,0.287254511802541,0.232440712839593,0.261127836546689,0.276556647488524,0.561869300854972,0.829860941286764,1.54509882783567,1.14868691248766,0.854518042358053,0.652155180978268,0.287116971944151,0.348126566538341,0.261874464339317,0.211974471606406,0.214783449865331
"naive_forec",0.269,0.269,0.269,0.269,0.269,0.269,0.269,0.269,0.269,0.269,0.269,0.269,0.269,0.269,0.269,0.269,0.269,0.269,0.269,0.269,0.269,0.269,0.269,0.269
"snaive_forec",0.229,0.15,0.095,0.215,0.281,1.182,1.002,1.092,0.633,0.235,0.402,0.424,0.431,0.38,0.876,0.681,2.155,1.585,1.172,0.182,0.128,0.162,0.157,0.269
"",0.338683113807482,0.325620785616891,0.202280001561529,0.375417001327271,0.76445237778871,1.15447778699864,0.941441155626975,0.890442431325254,0.718719115871507,0.365093594912799,0.273003996743104,0.3408900619957,0.392058618997015,0.478800903234461,0.874779917593321,1.06222225291483,1.45124941840382,1.12070809154665,0.843610414826175,0.344566313861682,0.228353179645838,0.269349975585774,0.262583185677203,0.272982408497548
"naive_combi_ff",0.275138154100345,0.253699113620548,0.198510464731383,0.251490415518225,0.441200506710689,0.963455371415103,0.850656359200559,0.823368108103733,0.666660707092217,0.290215204762867,0.279661616435405,0.297297823288246,0.321443531382525,0.396350545958218,0.630121407579431,0.743651699395953,1.39270562458358,1.03254896531699,0.823651404738454,0.252722158547834,0.212929112463214,0.21564815850256,0.20797125948945,0.245675250966351
"selected_ff",0.390861252702791,0.405930705157019,0.246780390572958,0.458900467269036,0.991476127055809,1.14592332675989,0.911406901428255,0.807149286866727,0.728179196857245,0.423466071881166,0.234411019436812,0.326490427263212,0.402658091221853,0.527893045698334,0.923370190950314,1.24949210972085,1.18547854838659,0.95224907741905,0.70582178207813,0.414049392965033,0.268995195439128,0.323667325832947,0.315203596226896,0.279702401822896
"oracle_ff",0.293330798737571,0.309067412918665,0.266521079032321,0.173014657292067,0.14398559494019,1.15043525122406,1.14399679470839,1.05636927423637,0.900621052952346,0.307955089786247,0.213726884915181,0.203979177633205,0.369044332691872,0.416811293302474,0.649934331725751,0.883621060365962,1.9995852314289,1.327795894543,1.01993573947296,0.177393103664819,0.165845584096632,0.237001651386702,0.230731662311959,0.177417355248815
