"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
"auto_arima_forec",0.00774887984476699,0.00741638841996436,0.00760888524990394,0.00833129437571318,0.00791280496690608,0.00803200207646591,0.00813359881622615,0.00877852994915256,0.00829400276888328,0.0083569130917386,0.00841053422167176,0.0084562377794475,0.0084951928554775,0.00852839591498436,0.00911503222046396,0.00858081789228184,0.00860137775668586,0.00861890179901435,0.00863383828174091,0.00864656927793794,0.00865742044465074,0.00866666935315773,0.00923288852222941,0.00868127180482877
"ets_forec",0.00396882594288356,0.00437741998460578,0.00413156563369356,0.00404066793932281,0.00409331707783981,0.00366109218129362,0.00607332818568509,0.00472941468907051,0.018992873843197,0.00885560630542289,0.0066427480439371,0.00616007622587484,0.00568763279936092,0.00548543151208628,0.00535418406133919,0.00474129949298975,0.00506199573118378,0.0051854302366061,0.00452341072906854,0.00480657726657594,0.00455189869431182,0.00401978705626098,0.00420510423747269,0.00408210933491389
"nnetar_forec",0.00456431918094215,0.00470242061377717,0.00499202297086991,0.00543168101574935,0.00552003184477865,0.00598634786388348,0.00598617783847259,0.00631782541767863,0.00656600018741478,0.00645213995521687,0.00663396813708116,0.00617862661490217,0.00654439360004187,0.00636422501046169,0.00677794346601761,0.00642218343616376,0.00649548616226518,0.00662919416057808,0.00643248062705812,0.00687064863971282,0.00660765762036636,0.00696742013021078,0.00718451901773498,0.00742756569430578
"tbats_forec",0.00439176665422741,0.0046589658641845,0.00489717580354619,0.00475946251192243,0.00449150190585137,0.00476496193641934,0.00603529457842639,0.00799759162595257,0.00912982741389555,0.0085752960843925,0.00754489722558028,0.00710145109033817,0.00716004483596919,0.00719755945479282,0.00708711203184266,0.00710572427256979,0.00721579100240063,0.00690973150484669,0.00604238543273019,0.00521938933565884,0.00494369793012844,0.00514540009768395,0.00538582736416112,0.00540030572758636
"stlm_ar_forec",0.00074342777320526,-0.00395690593362698,-0.0050048178857939,-0.00340970360160305,-0.00113885608332949,0.00477014590878473,0.00801447817566941,0.012788773294083,0.17199954323349,0.00160967514288211,-0.000236034022300479,0.00172445465901101,0.0027748145147687,0.00401561673360611,0.00537446419593043,0.00365409326411722,0.00347371622553071,0.00447315521940085,0.00173291369703018,0.000951907722009268,0.00051448608007373,0.000355613405456838,0.000865076729534148,0.000620949760034177
"rw_drift_forec",0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004
"thetaf_forec",0.00434543890385707,0.00450025164440851,0.00393958660202599,0.00498359146324953,0.00413454047341624,0.00365592445905865,0.00578745713608816,0.00563718683281914,0.0157901874555581,0.00773958290614536,0.00524436122038816,0.00549873922727803,0.00509627612712177,0.00515704324533701,0.00541237788682601,0.00494003297466675,0.00538408562058104,0.00525165465495525,0.00430265719649786,0.00371049474829361,0.0036056293314453,0.00363566441202925,0.00374502070255964,0.0038714908200622
"naive_forec",0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004
"snaive_forec",0.005,0.004,0.004,0.005,0.004,0.004,0.004,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.005,0.004
"",0.00496155169003027,0.00402490679345784,0.00402330411010003,0.00497267265701276,0.00402094728521805,0.00402243142851166,0.00407903970949337,0.00504605397851542,0.0043871385529411,0.0041538504109578,0.00410167049181777,0.00409318084740052,0.00408848608092408,0.00408855229204982,0.00503214395891061,0.00407961480316557,0.0040869987794219,0.00408272739213511,0.00405532583099941,0.00403997812692357,0.00403238507937348,0.00403173454808185,0.00498203757607682,0.00403841189997653
"naive_combi_ff",0.00430696203332027,0.00374428228814593,0.00361826870824952,0.00412633263381714,0.0041125933539403,0.00476338604732286,0.00578114830339642,0.00658325797875071,0.0269747149891599,0.00595435705397759,0.005137830536262,0.0052355095107613,0.00530648385919333,0.00541647465236314,0.00579123487360221,0.0052715723703099,0.00535916138873858,0.00545200750837792,0.00485196510712509,0.00468950966557649,0.0045423100112196,0.00453228382831106,0.00484649295263244,0.0046759659046368
"selected_ff",0.005,0.004,0.004,0.005,0.004,0.004,0.004,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.005,0.004
"oracle_ff",0.00774887984476699,0.00741638841996436,0.00760888524990394,0.00833129437571318,0.00791280496690608,0.00803200207646591,0.00813359881622615,0.00877852994915256,0.00829400276888328,0.0083569130917386,0.00841053422167176,0.0084562377794475,0.0084951928554775,0.00852839591498436,0.00911503222046396,0.00858081789228184,0.00860137775668586,0.00861890179901435,0.00863383828174091,0.00864656927793794,0.00865742044465074,0.00866666935315773,0.00923288852222941,0.00868127180482877
