"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
"auto_arima_forec",0.281652511086743,0.38181849991165,0.314584811389517,0.310047832507308,0.317350550998941,0.320246814869774,0.371662956257002,0.343776680165927,0.318864190584805,0.316983832722708,0.310185547248873,0.316421185878588,0.31774403791203,0.312265291957279,0.314721381579926,0.315477103085177,0.315666034886728,0.311131797699258,0.315288184041099,0.318499936859877,0.312076431720693,0.375177924127565,0.357040968242181,0.325301295430503
"ets_forec",0.542398485006223,0.409810234027376,0.331790108200957,0.344982514327325,0.303014587740829,0.27545023927137,0.763918310697477,0.900999773998177,0.612722420827914,0.839720499833175,0.798267992754639,0.722221383274218,0.73157156406204,0.658581484641034,0.421739976209389,0.810371609651796,1.59180189597016,1.01459933262994,0.785572295875077,2.52047733475725,4.29503144397783,4.69101738004558,2.81359859871063,4.54503554410232
"nnetar_forec",0.275688445457145,0.427181169276866,0.414363259197842,0.390611587299634,0.382349081366863,0.379969592027257,0.448058480048865,0.457080561524114,0.428987900952664,0.407157872158027,0.381360298565292,0.372790548637911,0.368697574994726,0.356985223677914,0.352366748445893,0.35018616440209,0.348882878223885,0.34053226607649,0.341119037194217,0.346738039696751,0.340489471075111,0.425236999963879,0.458775553102311,0.439306177837135
"tbats_forec",0.287716637318141,0.282598792569444,0.258219291688948,0.22389636208557,0.131587464095884,0.142847617136002,0.302446334300948,0.30028268012857,0.174738213728811,0.170076424977745,0.185006882664272,0.176320974172316,0.194533863056261,0.173675207949015,0.13999790820287,0.162757804113181,0.176755165857201,0.145881366798592,0.166891806444617,0.310465296510518,0.539377264890507,0.494855792884565,0.318986159456843,0.327113212646951
"stlm_ar_forec",0.3880770992438,0.384928247053638,0.431641939010363,0.344543859384199,0.179090660678821,0.180178144316197,0.451904854544952,0.334281916248608,0.19014891828155,0.217354867593433,0.233921865793564,0.263290926985216,0.306992883437389,0.285141008888984,0.196410771132078,0.231133517049674,0.20162761250486,0.182224279352843,0.197235914984997,0.402308221287738,0.889800493123845,0.791300106260144,0.575423428421232,0.506422628522493
"rw_drift_forec",0.184709741550696,0.184419483101392,0.184129224652087,0.183838966202783,0.183548707753479,0.183258449304175,0.182968190854871,0.182677932405567,0.182387673956262,0.182097415506958,0.181807157057654,0.18151689860835,0.181226640159046,0.180936381709742,0.180646123260437,0.180355864811133,0.180065606361829,0.179775347912525,0.179485089463221,0.179194831013917,0.178904572564612,0.178614314115308,0.178324055666004,0.1780337972167
"thetaf_forec",0.293492336966179,0.217955924203279,0.219814274270341,0.15840737825233,0.080169442651773,0.0733595338597605,0.203737890461202,0.181964383839786,0.110443924436771,0.110263748417843,0.126740285874832,0.134667217237568,0.124465575416982,0.131840463908257,0.0853623591352564,0.101370379722098,0.129860721699147,0.0936355538660129,0.0995477151614005,0.236395858064977,0.367819813936429,0.33889889276484,0.197115537046555,0.213802334351595
"naive_forec",0.185,0.185,0.185,0.185,0.185,0.185,0.185,0.185,0.185,0.185,0.185,0.185,0.185,0.185,0.185,0.185,0.185,0.185,0.185,0.185,0.185,0.185,0.185,0.185
"snaive_forec",0.313,0.608,0.171,0.119,0.148,0.16,0.431,0.283,0.151,0.141,0.105,0.138,0.145,0.116,0.129,0.133,0.134,0.11,0.132,0.149,0.115,0.449,0.353,0.185
"",0.287749870348069,0.282979851077193,0.258122509231863,0.223776751733256,0.131610971482225,0.142870056972561,0.302598456499857,0.300260028819348,0.174713258685638,0.170047783224269,0.184917986590395,0.176282952876747,0.194481340238088,0.173615069962995,0.139989653480872,0.16272880883622,0.176713820839477,0.145846224201132,0.166854847574417,0.310285952247647,0.538894751387969,0.494818873751749,0.319039928760016,0.326967355616302
"naive_combi_ff",0.305748361847659,0.342412483349294,0.278949212045562,0.251147611117683,0.212234499476288,0.211145598976059,0.371188557462813,0.35211821425675,0.26158813808542,0.285517184578876,0.27858778110657,0.276692126088241,0.283914682115386,0.266713895859136,0.222805029773983,0.274405826981683,0.362628879500424,0.284753327148407,0.266904449240514,0.516453279799002,0.802611054587669,0.881011267795765,0.604140477849528,0.767223887789744
"selected_ff",0.287716637318141,0.282598792569444,0.258219291688948,0.22389636208557,0.131587464095884,0.142847617136002,0.302446334300948,0.30028268012857,0.174738213728811,0.170076424977745,0.185006882664272,0.176320974172316,0.194533863056261,0.173675207949015,0.13999790820287,0.162757804113181,0.176755165857201,0.145881366798592,0.166891806444617,0.310465296510518,0.539377264890507,0.494855792884565,0.318986159456843,0.327113212646951
"oracle_ff",0.184709741550696,0.184419483101392,0.184129224652087,0.183838966202783,0.183548707753479,0.183258449304175,0.182968190854871,0.182677932405567,0.182387673956262,0.182097415506958,0.181807157057654,0.18151689860835,0.181226640159046,0.180936381709742,0.180646123260437,0.180355864811133,0.180065606361829,0.179775347912525,0.179485089463221,0.179194831013917,0.178904572564612,0.178614314115308,0.178324055666004,0.1780337972167
