"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
"real",0.144,0.066,0.332,0.086,0.125,0.106,0.086,0.353,0.132,0.461,0.773,0.24,0.076,0.289,0.117,0.781,0.1,0.065,0.471,0.099,0.103,0.073,0.599,0.636
"weighted_ff",0.213809737738625,0.191625636177368,0.158897455397444,0.130764636872946,0.115446056124492,0.114276412815926,0.125767334818209,0.145790230433352,0.166231420156641,0.178010057261694,0.178747826831596,0.174523159071648,0.173737783858262,0.181200626212318,0.195654438732734,0.210052055377045,0.214482926062507,0.204904706515203,0.187463148634162,0.173054038220882,0.169563705370791,0.179173749888103,0.197893368817815,0.214334470966414
"naive_combi_ff",0.158737816113372,0.152468292088927,0.222750518705372,0.138987070735512,0.153583377069336,0.1304333161964,0.123983483273671,0.167106690049563,0.235426422151206,0.181058283045344,0.164829159106256,0.171180620480685,0.173426187756812,0.30088621598426,0.226959841332359,0.234140775422179,0.162829109040326,0.203522184439955,0.19819169629081,0.140946660456506,0.170194605330037,0.20933638891048,0.180060086991739,0.18684017179898
"selected_ff",0.213827314671566,0.191637588608899,0.158865954162464,0.130758956007382,0.115424544914475,0.114267273944801,0.125767218454774,0.145776612742881,0.166189920788459,0.178000448735361,0.178745936801395,0.174517123663308,0.173731000895873,0.181137139561109,0.195630992828605,0.210027796884101,0.214498132828773,0.204895231229259,0.187447407580708,0.173065834953239,0.169556414546805,0.179150522868335,0.197892589238918,0.214336252448695
"oracle_ff",0.151435109869274,0.150366109547288,0.290027640235517,0.158794046118804,0.181502233371371,0.122710503248325,0.071001505195418,0.240079079620948,0.377385131140106,0.272853721476117,0.20805685147349,0.298782542948314,0.350516106129691,0.29760654018256,0.230893563316652,0.330351116584937,0.129178183979237,0.219894177606785,0.310296226159514,0.130755710364302,0.246068924200692,0.261068187495657,0.2901808801579,0.265668504737122
"auto_arima_forec",0.215503459135529,0.236478540250522,0.284307835136477,0.230721801500079,0.236722996726163,0.237725664188686,0.229004545347027,0.207894111797687,0.247728930705099,0.212470068355415,0.207745171924274,0.208884166775111,0.211541731377061,0.35528762774189,0.250619723331076,0.228193207794286,0.203428244311792,0.239277730333832,0.215337567496718,0.209381390913996,0.206920480908466,0.241974421754388,0.20627954934485,0.20769761271889
"ets_forec",0.219207935072218,0.221033310819582,0.198327844560123,0.170506875187143,0.202433793724665,0.141723319098573,0.131856558807928,0.221437431051001,0.299130254985272,0.260827521768811,0.255538311331361,0.24423938247646,0.228630600159548,0.248611494095872,0.287402680807222,0.326746662661531,0.245867218123668,0.269791015549373,0.297989849150665,0.16833381188705,0.23577671130381,0.264943598021879,0.261566939179775,0.287709219581647
"nnetar_forec",0.147738169227314,0.159194069940282,0.358350235031935,0.191424913896596,0.181937804132167,0.13514131876193,0.165233507966871,0.243150033622581,0.260552504401924,0.196087325467427,0.170226954141961,0.153097376385298,0.169379579978106,0.32901227900163,0.30689442849596,0.254833218120103,0.195168799206905,0.207962757606011,0.192792312142853,0.196711286401979,0.19401760013143,0.216508729061679,0.186894821213782,0.190137946782516
"tbats_forec",0.213827314671566,0.191637588608899,0.158865954162464,0.130758956007382,0.115424544914475,0.114267273944801,0.125767218454774,0.145776612742881,0.166189920788459,0.178000448735361,0.178745936801395,0.174517123663308,0.173731000895873,0.181137139561109,0.195630992828605,0.210027796884101,0.214498132828773,0.204895231229259,0.187447407580708,0.173065834953239,0.169556414546805,0.179150522868335,0.197892589238918,0.214336252448695
"stlm_ar_forec",0.151435109869274,0.150366109547288,0.290027640235517,0.158794046118804,0.181502233371371,0.122710503248325,0.071001505195418,0.240079079620948,0.377385131140106,0.272853721476117,0.20805685147349,0.298782542948314,0.350516106129691,0.29760654018256,0.230893563316652,0.330351116584937,0.129178183979237,0.219894177606785,0.310296226159514,0.130755710364302,0.246068924200692,0.261068187495657,0.2901808801579,0.265668504737122
"rw_drift_forec",0.0725546719681908,0.0721093439363816,0.0716640159045724,0.0712186878727633,0.0707733598409541,0.0703280318091449,0.0698827037773357,0.0694373757455265,0.0689920477137173,0.0685467196819082,0.068101391650099,0.0676560636182898,0.0672107355864806,0.0667654075546714,0.0663200795228622,0.0658747514910531,0.0654294234592439,0.0649840954274347,0.0645387673956255,0.0640934393638163,0.0636481113320072,0.063202783300198,0.0627574552683888,0.0623121272365796
"thetaf_forec",0.237373685076254,0.226395665697393,0.193211143317256,0.181458356036841,0.221455660914228,0.147003734716136,0.148105309913687,0.205185565865439,0.294859009626274,0.269738741923055,0.273047814633727,0.226448928459385,0.23382593568455,0.209555455720611,0.302877103688856,0.3742402252636,0.276891979453318,0.282894652206904,0.307323136691204,0.161178470224173,0.24176320554712,0.268179257692182,0.267968548522038,0.307699882685373
"naive_forec",0.073,0.073,0.073,0.073,0.073,0.073,0.073,0.073,0.073,0.073,0.073,0.073,0.073,0.073,0.073,0.073,0.073,0.073,0.073,0.073,0.073,0.073,0.073,0.073
"snaive_forec",0.098,0.042,0.377,0.043,0.099,0.132,0.102,0.098,0.331,0.098,0.049,0.094,0.053,0.947,0.329,0.244,0.062,0.269,0.135,0.092,0.101,0.316,0.074,0.073
